City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Prainha
4,Salinopolis,BR,74.5,moderate rain,-0.6136,-47.3561,Hotel Salinópolis
7,Saint Peter,BB,72.16,clear sky,13.25,-59.6167,Ancient Grove
9,Sao Filipe,CV,70.56,overcast clouds,14.8961,-24.4956,Bela Vista
14,Rikitea,PF,79.02,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
15,Hithadhoo,MV,81.1,few clouds,-0.6,73.0833,Pebbles Inn
16,Bambanglipuro,ID,85.17,overcast clouds,-7.95,110.2833,No hotel found
17,Avarua,CK,77.05,haze,-21.2078,-159.775,Paradise Inn
20,Bathsheba,BB,74.01,few clouds,13.2167,-59.5167,Atlantis Hotel
21,Ahipara,NZ,73.29,overcast clouds,-35.1667,173.1667,YHA Ahipara
23,Hadgaon,IN,77.38,few clouds,19.5,77.6667,No hotel found
27,Atuona,PF,79.02,broken clouds,-9.8,-139.0333,Pearl Resort
34,Arraial Do Cabo,BR,75.43,overcast clouds,-22.9661,-42.0278,No hotel found
35,Busselton,AU,81.81,clear sky,-33.65,115.3333,No hotel found
38,Cape Town,ZA,72.37,scattered clouds,-33.9258,18.4232,Townhouse Hotel
39,Pisco,PE,73.45,light rain,-13.7,-76.2167,La Portada
43,Isangel,VU,82.62,overcast clouds,-19.55,169.2667,Tanna Lodge
47,Port Elizabeth,ZA,70.32,clear sky,-33.918,25.5701,Waterford Hotel
48,Bangarapet,IN,77.05,overcast clouds,12.9667,78.2,No hotel found
50,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti International Resort
51,Butaritari,KI,80.35,light rain,3.0707,172.7902,No hotel found
52,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Pono Kai Resort
55,Kokopo,PG,83.95,light rain,-4.352,152.2633,Hotel Kokopo
56,Pochutla,MX,75.02,clear sky,15.7432,-96.4661,Posada San Jose
59,Sao Joao Da Barra,BR,75.27,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
