City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Hedland,AU,-20.3167,118.5667,93.25,59,23,11.5,few clouds
1,Punta Arenas,CL,-53.15,-70.9167,53.71,66,40,27.63,scattered clouds
2,Bilibino,RU,68.0546,166.4372,3.24,90,97,5.84,overcast clouds
3,Vila Velha,BR,-20.3297,-40.2925,75.15,83,20,3.44,few clouds
4,Salinopolis,BR,-0.6136,-47.3561,74.5,95,100,2.46,moderate rain
5,Jvari,GE,42.7169,42.052,38.21,66,95,4.74,overcast clouds
6,Yerbogachen,RU,61.2767,108.0108,-10.77,97,97,3.74,overcast clouds
7,Saint Peter,BB,13.25,-59.6167,72.16,72,1,11.3,clear sky
8,Nanortalik,GL,60.1432,-45.2371,14.18,82,99,6.55,overcast clouds
9,Sao Filipe,CV,14.8961,-24.4956,70.56,71,87,10.29,overcast clouds
10,Tilichiki,RU,60.4667,166.1,9.34,93,100,7.16,overcast clouds
11,Tiksi,RU,71.6872,128.8694,-0.65,99,100,7.67,light snow
12,Torbay,CA,47.6666,-52.7314,34.57,95,100,21.85,snow
13,Barrow,US,71.2906,-156.7887,-5.78,77,0,21.85,clear sky
14,Rikitea,PF,-23.1203,-134.9692,79.02,72,5,14.47,clear sky
15,Hithadhoo,MV,-0.6,73.0833,81.1,73,16,11.52,few clouds
16,Bambanglipuro,ID,-7.95,110.2833,85.17,66,100,8.01,overcast clouds
17,Avarua,CK,-21.2078,-159.775,77.05,88,75,12.66,haze
18,Khatanga,RU,71.9667,102.5,-45.36,100,62,2.15,broken clouds
19,Ribeira Grande,PT,38.5167,-28.7,51.78,80,98,7.0,overcast clouds
20,Bathsheba,BB,13.2167,-59.5167,74.01,78,20,11.5,few clouds
21,Ahipara,NZ,-35.1667,173.1667,73.29,76,99,8.3,overcast clouds
22,Tiznit,MA,29.5833,-9.5,48.61,27,37,14.32,scattered clouds
23,Hadgaon,IN,19.5,77.6667,77.38,36,13,14.54,few clouds
24,Kanda,JP,33.7833,130.9833,61.25,71,75,9.22,broken clouds
25,Griffith,US,41.5284,-87.4237,8.46,66,0,5.75,clear sky
26,Radis,TN,36.7681,10.2753,49.91,81,40,8.05,scattered clouds
27,Atuona,PF,-9.8,-139.0333,79.02,77,64,23.85,broken clouds
28,Hermanus,ZA,-34.4187,19.2345,64.8,90,4,3.44,clear sky
29,Jamestown,US,42.097,-79.2353,18.55,89,0,5.75,clear sky
30,Yumen,CN,40.2833,97.2,25.79,31,100,3.29,overcast clouds
31,Uralets,RU,57.6614,59.6497,18.25,93,98,9.1,overcast clouds
32,Yellowknife,CA,62.456,-114.3525,-26.88,68,20,11.5,few clouds
33,Dikson,RU,73.5069,80.5464,-9.98,92,43,7.94,scattered clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,75.43,90,91,23.69,overcast clouds
35,Busselton,AU,-33.65,115.3333,81.81,32,0,9.33,clear sky
36,Ushuaia,AR,-54.8,-68.3,56.86,51,75,13.8,broken clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,83,38,7.52,light rain
38,Cape Town,ZA,-33.9258,18.4232,72.37,85,40,11.5,scattered clouds
39,Pisco,PE,-13.7,-76.2167,73.45,78,0,8.05,light rain
